Town Name,Web Link,Distance Miles,Distance KM,Precise Drive time and Directions URL,Approx Drive miles,Approx Drive Time,Assumed Average MPH,Total Minutes,Region,Country,Population,Direction,Latitude,Longitude,Date
Merrickville,https://www.distantias.com/towns-radius-merrickville-canada.htm,9.05,14.564527,https://www.distantias.com/distance-from-smiths_falls_canada-to-merrickville-canada.htm,10.77,0 hour(s) and 25 minutes,26,24.9, Ontario,Canada,not available,NE,44.9167,-75.8333,2011
Perth,https://www.distantias.com/towns-radius-perth-canada.htm,10.67,17.1716578,https://www.distantias.com/distance-from-smiths_falls_canada-to-perth-canada.htm,13.22,0 hour(s) and 21 minutes,37,21.4, Ontario,Canada,6211,SW,44.8833,-76.2333,2011
Eloida,https://www.distantias.com/towns-radius-eloida-canada.htm,15.17,24.4136878,https://www.distantias.com/distance-from-smiths_falls_canada-to-eloida-canada.htm,18.8,0 hour(s) and 30 minutes,37,30.5, Ontario,Canada,not available,SE,44.6833,-75.9667,2011
Carleton Place,https://www.distantias.com/towns-radius-carleton_place-canada.htm,17.09,27.5036206,https://www.distantias.com/distance-from-smiths_falls_canada-to-carleton_place-canada.htm,21.17,0 hour(s) and 34 minutes,37,34.3, Ontario,Canada,10013,NW,45.1333,-76.1333,2011
Kemptville,https://www.distantias.com/towns-radius-kemptville-canada.htm,20.39,32.8144426,https://www.distantias.com/distance-from-smiths_falls_canada-to-kemptville-canada.htm,24.77,0 hour(s) and 27 minutes,55,27, Ontario,Canada,3532,NE,45.0167,-75.6333,2011
Crosby,https://www.distantias.com/towns-radius-crosby-canada.htm,20.74,33.3777116,https://www.distantias.com/distance-from-smiths_falls_canada-to-crosby-canada.htm,25.2,0 hour(s) and 27 minutes,55,27.5, Ontario,Canada,not available,SW,44.65,-76.25,2011
Richmond,https://www.distantias.com/towns-radius-richmond-canada.htm,21.52,34.6329968,https://www.distantias.com/distance-from-smiths_falls_canada-to-richmond-canada.htm,26.15,0 hour(s) and 29 minutes,55,28.5, Ontario,Canada,3797,NE,45.1833,-75.8333,2011
Newboro,https://www.distantias.com/towns-radius-newboro-canada.htm,22.71,36.5481114,https://www.distantias.com/distance-from-smiths_falls_canada-to-newboro-canada.htm,27.59,0 hour(s) and 30 minutes,55,30.1, Ontario,Canada,not available,SW,44.65,-76.3167,2011
Almonte,https://www.distantias.com/towns-radius-almonte-canada.htm,23.63,38.0287042,https://www.distantias.com/distance-from-smiths_falls_canada-to-almonte-canada.htm,28.71,0 hour(s) and 31 minutes,55,31.3, Ontario,Canada,4752,NW,45.2167,-76.2,2011
Westport,https://www.distantias.com/towns-radius-westport-canada.htm,24.06,38.7207204,https://www.distantias.com/distance-from-smiths_falls_canada-to-westport-canada.htm,29.23,0 hour(s) and 32 minutes,55,31.9, Ontario,Canada,not available,SW,44.6833,-76.4,2011
Stittsville,https://www.distantias.com/towns-radius-stittsville-canada.htm,24.67,39.7024178,https://www.distantias.com/distance-from-smiths_falls_canada-to-stittsville-canada.htm,29.97,0 hour(s) and 33 minutes,55,32.7, Ontario,Canada,not available,NE,45.25,-75.9167,2011
Brockville,https://www.distantias.com/towns-radius-brockville-canada.htm,27.35,44.015449,https://www.distantias.com/distance-from-smiths_falls_canada-to-brockville-canada.htm,33.23,0 hour(s) and 36 minutes,55,36.3, Ontario,Canada,23354,SE,44.5833,-75.6833,2011
Prescott,https://www.distantias.com/towns-radius-prescott-canada.htm,27.63,44.4660642,https://www.distantias.com/distance-from-smiths_falls_canada-to-prescott-canada.htm,33.57,0 hour(s) and 37 minutes,55,36.6, Ontario,Canada,4284,SE,44.7167,-75.5167,2011
Morristown,https://www.distantias.com/towns-radius-morristown-united_states.htm,28.34,45.6086956,https://www.distantias.com/distance-from-smiths_falls_canada-to-morristown-united_states.htm,34.43,0 hour(s) and 38 minutes,55,37.6, New York,United States,1902,SE,44.5849,-75.6481,2018
Manotick,https://www.distantias.com/towns-radius-manotick-canada.htm,28.64,46.0914976,https://www.distantias.com/distance-from-smiths_falls_canada-to-manotick-canada.htm,34.8,0 hour(s) and 38 minutes,55,38, Ontario,Canada,not available,NE,45.24,-75.68,2011
Ogdensburg,https://www.distantias.com/towns-radius-ogdensburg-united_states.htm,29.09,46.8157006,https://www.distantias.com/distance-from-smiths_falls_canada-to-ogdensburg-united_states.htm,35.34,0 hour(s) and 39 minutes,55,38.6, New York,United States,10551,SE,44.6052,-75.5947,2018
Brier Hill,https://www.distantias.com/towns-radius-brier_hill-united_states.htm,30.07,48.3928538,https://www.distantias.com/distance-from-smiths_falls_canada-to-brier_hill-united_states.htm,36.54,0 hour(s) and 40 minutes,55,39.9, New York,United States,not available,SE,44.5295,-75.6964,2011
Kanata,https://www.distantias.com/towns-radius-kanata-canada.htm,30.47,49.0365898,https://www.distantias.com/distance-from-smiths_falls_canada-to-kanata-canada.htm,37.02,0 hour(s) and 40 minutes,55,40.4, Ontario,Canada,101760,NE,45.3333,-75.9,2011
Carp,https://www.distantias.com/towns-radius-carp-canada.htm,31.11,50.0665674,https://www.distantias.com/distance-from-smiths_falls_canada-to-carp-canada.htm,37.8,0 hour(s) and 41 minutes,55,41.2, Ontario,Canada,not available,NW,45.35,-76.0333,2011
Pakenham,https://www.distantias.com/towns-radius-pakenham-canada.htm,32.62,52.4966708,https://www.distantias.com/distance-from-smiths_falls_canada-to-pakenham-canada.htm,39.63,0 hour(s) and 43 minutes,55,43.2, Ontario,Canada,not available,NW,45.3333,-76.2833,2011
